"id","name","city","country_code","state_province","latitude","longitude","ports","power_kw","power_class","is_fast_dc"
66029,Dawny warsztat wulkanizacyjny w Wężykach,Wężyki,PL,gmina Rybno,52.281002,20.122119,2,22,AC_HIGH_(22-49kW),false
66028,Leroy Merlin Płock,Płock,PL,Płock,52.537141,19.739448,2,22,AC_HIGH_(22-49kW),false
66004,"Stacja BP na A1 (Lubień - północ, kier. Gdańsk)",gmina Lubień Kujawski,PL,gmina Lubień Kujawski,52.465703,19.193083,6,3,AC_L1_(<7.5kW),false
65990,Stacja paliw w Wojszycach,Otłoczyn,PL,gmina Aleksandrów Kujawski,52.211255,19.544392,1,22,AC_HIGH_(22-49kW),false
65989,"Stacja Orlen na A1 (Otłoczyn - wschód, kier. Gdańsk)",Otłoczyn,PL,gmina Aleksandrów Kujawski,52.899838,18.724272,2,100,DC_FAST_(50-149kW),true
65988,"Stacja Lotos na A1 (Malankowo - wschód, kier. Gdańsk)",Działowo,PL,pomorskie,53.346297,18.709671,2,22,AC_HIGH_(22-49kW),false
65987,"Stacja Lotos na A1 (Malankowo - zachód, kier. Łódź)",Działowo,PL,pomorskie,53.341831,18.70781,2,22,AC_HIGH_(22-49kW),false
65867,Laboratorium LINTE^2,Gdańsk,PL,pomorskie,54.369203,18.613693,3,70,DC_FAST_(50-149kW),true
65160,"Stacja Shell na A1 (Olsze - wschód, kier. Gdańsk)",Olsze,PL,pomorskie,53.88681,18.631314,3,3,AC_L1_(<7.5kW),false
65159,"Stacja Shell na A1 (Olsze - zachód, kier. Łódź)",Olsze,PL,pomorskie,53.888623,18.629887,2,22,AC_HIGH_(22-49kW),false
65135,Parking przed basenem pływackim Akademii Morskiej,Gdynia,PL,pomorskie,54.518533,18.554772,3,3,AC_L1_(<7.5kW),false
65117,Vtechtuning.eu parking,Kraków,PL,"",50.025364,19.992509,1,22,AC_HIGH_(22-49kW),false
65087,Parking przy Parku Trampolin JUMPCITY,Gdynia,PL,pomorskie,54.525062,18.53836,9,22,AC_HIGH_(22-49kW),false
64539,Salon Porsche,Sopot,PL,pomorskie,54.459937,18.553575,2,3,AC_L1_(<7.5kW),false
